,JKT,BDG,SBY,MDN,MKS,MDO,JYP,PTK,SMD,AMB,KPG,PLB,PDG,BJM,BPN,DPS,MTR,TRN,PLU,GTO,YGY,SMG,PKU,JBI,KDI,MNK,SRG,TRK,BTG,LHS,ACE,SRG,CRB,MGL,BKL,TUL,WGP,TJP,SKW,BAU,PGK,GNS,SBG,END,TBT,PLO,PMK,LBJ,SBL
DPS,962.0,859.0,312.0,0.0,607.0,0.0,0.0,0.0,931.0,0.0,936.0,0.0,0.0,597.0,840.0,0.0,99.0,0.0,0.0,0.0,542.0,561.0,0.0,0.0,959.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,765.0,566.0,0.0,0.0,565.0,0.0,0.0,890.0,0.0,0.0,0.0,709.0,0.0,836.0,254.0,514.0,0.0
MTR,0.0,954.0,399.0,0.0,529.0,0.0,0.0,0.0,906.0,0.0,841.0,0.0,0.0,609.0,818.0,99.0,0.0,0.0,951.0,0.0,639.0,653.0,0.0,0.0,873.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,859.0,661.0,0.0,0.0,471.0,0.0,0.0,796.0,0.0,0.0,0.0,610.0,0.0,768.0,331.0,415.0,0.0
TRN,0.0,0.0,0.0,0.0,0.0,293.0,0.0,0.0,0.0,502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,857.0,482.0,0.0,0.0,0.0,0.0,758.0,766.0,468.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,929.0,0.0,0.0,0.0,875.0,0.0,0.0,0.0,0.0,0.0,904.0,0.0,0.0,0.0
PLU,0.0,0.0,0.0,0.0,476.0,612.0,0.0,0.0,305.0,974.0,0.0,0.0,0.0,646.0,340.0,0.0,951.0,857.0,0.0,389.0,0.0,0.0,0.0,0.0,451.0,0.0,0.0,534.0,646.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,976.0,0.0,0.0,593.0,0.0,0.0,0.0,906.0,0.0,237.0,994.0,846.0,0.0
GTO,0.0,0.0,0.0,0.0,750.0,224.0,0.0,0.0,667.0,737.0,0.0,0.0,0.0,0.0,721.0,0.0,0.0,482.0,389.0,0.0,0.0,0.0,0.0,0.0,506.0,0.0,924.0,683.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670.0,0.0,0.0,0.0,0.0,0.0,506.0,0.0,0.0,0.0
YGY,427.0,319.0,269.0,0.0,0.0,0.0,0.0,877.0,0.0,0.0,0.0,819.0,0.0,683.0,0.0,542.0,639.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.0,234.0,40.0,0.0,0.0,0.0,0.0,980.0,0.0,787.0,0.0,0.0,0.0,0.0,0.0,350.0,0.0,0.0
SMG,403.0,309.0,260.0,0.0,0.0,0.0,0.0,787.0,0.0,0.0,0.0,767.0,0.0,615.0,953.0,561.0,653.0,0.0,0.0,0.0,92.0,0.0,0.0,961.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481.0,207.0,60.0,969.0,0.0,0.0,0.0,890.0,0.0,719.0,0.0,0.0,0.0,0.0,0.0,338.0,0.0,0.0
PKU,957.0,0.0,0.0,462.0,0.0,0.0,0.0,879.0,0.0,0.0,0.0,535.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.0,0.0,0.0,0.0,0.0,0.0,707.0,881.0,903.0,0.0,0.0,488.0,0.0,0.0,337.0,839.0,0.0,596.0,435.0,906.0,0.0,404.0,0.0,0.0,0.0,327.0
JBI,625.0,739.0,0.0,798.0,0.0,0.0,0.0,662.0,0.0,0.0,0.0,199.0,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,961.0,337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575.0,788.0,980.0,286.0,0.0,0.0,296.0,660.0,0.0,284.0,741.0,0.0,0.0,739.0,0.0,0.0,0.0,654.0
KDI,0.0,0.0,0.0,0.0,365.0,659.0,0.0,0.0,709.0,631.0,700.0,0.0,0.0,882.0,699.0,959.0,873.0,758.0,451.0,506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,979.0,672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,679.0,0.0,0.0,167.0,0.0,0.0,0.0,550.0,0.0,279.0,0.0,581.0,0.0
MNK,0.0,0.0,0.0,0.0,0.0,0.0,761.0,0.0,0.0,724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,766.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,551.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRG,0.0,0.0,0.0,0.0,0.0,759.0,0.0,0.0,0.0,459.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468.0,0.0,924.0,0.0,0.0,0.0,0.0,0.0,314.0,0.0,0.0,722.0,0.0,0.0,0.0,0.0,0.0,0.0,554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRK,0.0,0.0,0.0,0.0,965.0,833.0,0.0,986.0,428.0,0.0,0.0,0.0,0.0,810.0,517.0,0.0,0.0,0.0,534.0,683.0,0.0,0.0,0.0,0.0,979.0,0.0,0.0,0.0,871.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.0,0.0,0.0,0.0,0.0,0.0,0.0,761.0,0.0,0.0,0.0
BTG,0.0,0.0,0.0,0.0,973.0,39.0,0.0,0.0,919.0,658.0,0.0,0.0,0.0,0.0,977.0,0.0,0.0,255.0,646.0,257.0,0.0,0.0,0.0,0.0,672.0,0.0,722.0,871.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820.0,0.0,0.0,0.0,0.0,0.0,743.0,0.0,0.0,0.0
LHS,0.0,0.0,0.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,773.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,707.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,940.0,0.0,0.0,0.0,437.0,217.0,0.0,305.0,0.0,0.0,0.0,424.0
